keyword;search_date;closest_date;organic_position;asin
desk;2022-11-01;2023-06-29;7;B087QK4MGN
desk;2022-11-01;2023-06-29;8;B08CBVGXZC
desk;2022-11-01;2023-06-29;9;B0B1HW6MTK
desk;2022-11-01;2023-06-29;10;B08DXZ6JJ5
desk;2022-11-01;2023-06-29;-1;B0BBLWZVCG
desk;2022-11-01;2023-06-29;-1;B09RWP7FZQ
desk;2022-11-01;2023-06-29;-1;B09PBYCKPY
desk;2022-11-01;2023-06-29;-1;B0B4FRKDCQ
desk;2022-11-01;2023-06-29;11;B09ZY4CYVF
desk;2022-11-01;2023-06-29;12;B0BHNK3YH4
desk;2022-11-01;2023-06-29;13;B0B8ZCZBC1
desk;2022-11-01;2023-06-29;14;B096H9XFRD
desk;2022-11-01;2023-06-29;15;B0BVW1M8S3
desk;2022-11-01;2023-06-29;16;B0B5T9ZH9F
desk;2022-11-01;2023-06-29;17;B0B96BRLJM
desk;2022-11-01;2023-06-29;18;B09G9YV8HD
desk;2022-11-01;2023-06-29;19;B0891YTNNM
desk;2022-11-01;2023-06-29;20;B0B28J9YRJ
desk;2022-11-01;2023-06-29;21;B097BTXRQR
desk;2022-11-01;2023-06-29;22;B06Y5GQNFX
desk;2022-11-01;2023-06-29;23;B0BRSMWBVF
desk;2022-11-01;2023-06-29;24;B0C3B1VJL1
desk;2022-11-01;2023-06-29;25;B0B1DDG5LM
desk;2022-11-01;2023-06-29;26;B08SBLQDSH
desk;2022-11-01;2023-06-29;27;B0BF57ZJ8F
desk;2022-11-01;2023-06-29;28;B0BRWFCGKC
desk;2022-11-01;2023-06-29;29;B085238SYT
desk;2022-11-01;2023-06-29;30;B0BN3JWD69
desk;2022-11-01;2023-06-29;31;B0B1D682G7
desk;2022-11-01;2023-06-29;32;B09H2MXH82
desk;2022-11-01;2023-06-29;33;B0BLNQG6N4
desk;2022-11-01;2023-06-29;34;B083T9Z4SG
desk;2022-11-01;2023-06-29;35;B08VMRMSX7
desk;2022-11-01;2023-06-29;36;B0B6PGSP5G
desk;2022-11-01;2023-06-29;37;B0C4Z77Y55
desk;2022-11-01;2023-06-29;38;B0BDKX4X82
desk;2022-11-01;2023-06-29;39;B0B9GMVX4X
desk;2022-11-01;2023-06-29;40;B09QW82ZTD
desk;2022-11-01;2023-06-29;41;B0C3RN1TDC
desk;2022-11-01;2023-06-29;42;B0BZ91YQ6V
desk;2022-11-01;2023-06-29;43;B09TKN4TYY
desk;2022-11-01;2023-06-29;44;B0BRQHKL2X
desk;2022-11-01;2023-06-29;45;B0C49WM1MQ
desk;2022-11-01;2023-06-29;46;B0077QLWUC
desk;2022-11-01;2023-06-29;47;B09C86MR4G
desk;2022-11-01;2023-06-29;48;B09SQF5YQJ
office chair;2022-11-01;2023-06-29;-1;B0BBQHFWRJ
office chair;2022-11-01;2023-06-29;-1;B0C7Q2S7ZF
office chair;2022-11-01;2023-06-29;-1;B07GNDDNMW
office chair;2022-11-01;2023-06-29;-1;B0C3793P19
office chair;2022-11-01;2023-06-29;1;B075WPSTX9
office chair;2022-11-01;2023-06-29;2;B0B5XTCST7
office chair;2022-11-01;2023-06-29;3;B082PWGGMD
office chair;2022-11-01;2023-06-29;4;B0C1SFNPGD
office chair;2022-11-01;2023-06-29;5;B0C6PZTFHN
office chair;2022-11-01;2023-06-29;6;B08B1QCTJG
office chair;2022-11-01;2023-06-29;-1;B016ID34BO
office chair;2022-11-01;2023-06-29;-1;B0BXRSCLHV
office chair;2022-11-01;2023-06-29;-1;B075WPSTX9
office chair;2022-11-01;2023-06-29;-1;B0BS97CNM6
office chair;2022-11-01;2023-06-29;7;B0B92FWK41
office chair;2022-11-01;2023-06-29;8;B09BCZV8TB
office chair;2022-11-01;2023-06-29;9;B08DR42HFV
office chair;2022-11-01;2023-06-29;10;B0C7LBZ1NC
office chair;2022-11-01;2023-06-29;-1;B0BXDFRNHP
office chair;2022-11-01;2023-06-29;-1;B07DCMVBMM
office chair;2022-11-01;2023-06-29;-1;B0BBQMCBJ8
office chair;2022-11-01;2023-06-29;-1;B0C3CJF23K
office chair;2022-11-01;2023-06-29;11;B09Y8TJYRV
office chair;2022-11-01;2023-06-29;12;B0BYD9FJC1
office chair;2022-11-01;2023-06-29;13;B09F9KTRXR
office chair;2022-11-01;2023-06-29;14;B0BG1V3DNN
office chair;2022-11-01;2023-06-29;15;B09TR8H39W
office chair;2022-11-01;2023-06-29;16;B0993SPGLR
office chair;2022-11-01;2023-06-29;17;B08S41S9R5
office chair;2022-11-01;2023-06-29;18;B0BKKQRNL4
office chair;2022-11-01;2023-06-29;19;B0C1YXFZ6V
office chair;2022-11-01;2023-06-29;20;B0BXDL263B
office chair;2022-11-01;2023-06-29;21;B0BGZB6VZM
office chair;2022-11-01;2023-06-29;22;B0BTYH54CK
office chair;2022-11-01;2023-06-29;23;B0C6JMQWJC
office chair;2022-11-01;2023-06-29;24;B0BS97CNM6
office chair;2022-11-01;2023-06-29;25;B09Z858PK1
office chair;2022-11-01;2023-06-29;26;B0BLMCLK15
office chair;2022-11-01;2023-06-29;27;B0C3793P19
office chair;2022-11-01;2023-06-29;28;B082WQQW8Q
office chair;2022-11-01;2023-06-29;29;B0B12CFGGC
office chair;2022-11-01;2023-06-29;30;B0C7CJJ3RH
office chair;2022-11-01;2023-06-29;31;B0B5XHY4YR
office chair;2022-11-01;2023-06-29;32;B0BQ76SL3L
office chair;2022-11-01;2023-06-29;33;B0C7Q2S7ZF
office chair;2022-11-01;2023-06-29;34;B09583N6BS
office chair;2022-11-01;2023-06-29;35;B002WCPJW8
office chair;2022-11-01;2023-06-29;36;B0BVRGMMFV
office chair;2022-11-01;2023-06-29;37;B0BX942YX9
office chair;2022-11-01;2023-06-29;38;B09N94H2GD
office chair;2022-11-01;2023-06-29;39;B09ZY662KF
office chair;2022-11-01;2023-06-29;40;B09Z2M7MK7
office chair;2022-11-01;2023-06-29;41;B0BXDFRNHP
office chair;2022-11-01;2023-06-29;42;B0BW8Z7Q8H
office chair;2022-11-01;2023-06-29;43;B07GN4H96T
office chair;2022-11-01;2023-06-29;44;B07DCMVBMM
office chair;2022-11-01;2023-06-29;45;B0BPHHT2YC
office chair;2022-11-01;2023-06-29;46;B0BYD7W4N7
office chair;2022-11-01;2023-06-29;47;B008EDJUHY
office chair;2022-11-01;2023-06-29;48;B0BMPYRQCL
weighted blanket;2022-11-01;2023-06-29;-1;B0BMB8CCV5
weighted blanket;2022-11-01;2023-06-29;-1;B07GKSKXZR
weighted blanket;2022-11-01;2023-06-29;-1;B09HKH8YCS
weighted blanket;2022-11-01;2023-06-29;-1;B07PDRRVYK
weighted blanket;2022-11-01;2023-06-29;1;B09HKH8YCS
weighted blanket;2022-11-01;2023-06-29;2;B0934DLJF5
weighted blanket;2022-11-01;2023-06-29;3;B0851KQ2RJ
weighted blanket;2022-11-01;2023-06-29;4;B09GRP8PF2
weighted blanket;2022-11-01;2023-06-29;5;B08G8SNPND
weighted blanket;2022-11-01;2023-06-29;6;B08N1K57VZ
weighted blanket;2022-11-01;2023-06-29;7;B0BP1RYSTD
weighted blanket;2022-11-01;2023-06-29;8;B09KCB7Z25
weighted blanket;2022-11-01;2023-06-29;-1;B07WW3KWDJ
weighted blanket;2022-11-01;2023-06-29;-1;B0C2RZZ4FJ
weighted blanket;2022-11-01;2023-06-29;-1;B0C82YQ5KT
weighted blanket;2022-11-01;2023-06-29;-1;B07QNP618D
weighted blanket;2022-11-01;2023-06-29;9;B09SYHJD9F
weighted blanket;2022-11-01;2023-06-29;10;B0BRKKWCCS
weighted blanket;2022-11-01;2023-06-29;11;B08CDZFM9M
weighted blanket;2022-11-01;2023-06-29;12;B08HQYH88Q
weighted blanket;2022-11-01;2023-06-29;-1;B09YDGM13T
weighted blanket;2022-11-01;2023-06-29;-1;B09P8CPXCG
weighted blanket;2022-11-01;2023-06-29;-1;B077FZDNJ2
weighted blanket;2022-11-01;2023-06-29;-1;B09KCB7Z25
weighted blanket;2022-11-01;2023-06-29;13;B08CC5GC33
weighted blanket;2022-11-01;2023-06-29;14;B07WG8DJ1S
weighted blanket;2022-11-01;2023-06-29;15;B09MQCSM56
weighted blanket;2022-11-01;2023-06-29;16;B0B9NNZ69S
weighted blanket;2022-11-01;2023-06-29;17;B0835G4J11
weighted blanket;2022-11-01;2023-06-29;18;B096XRDTKD
weighted blanket;2022-11-01;2023-06-29;19;B0BDSBVG9Y
weighted blanket;2022-11-01;2023-06-29;20;B07WFGS4VL
weighted blanket;2022-11-01;2023-06-29;21;B0BMB8CCV5
weighted blanket;2022-11-01;2023-06-29;22;B0855HQP6X
weighted blanket;2022-11-01;2023-06-29;23;B08ZRVWLXW
weighted blanket;2022-11-01;2023-06-29;24;B09WKKV11Q
weighted blanket;2022-11-01;2023-06-29;25;B0BRKLNZCR
weighted blanket;2022-11-01;2023-06-29;26;B0951TJ4FL
weighted blanket;2022-11-01;2023-06-29;27;B0BVMV8YWQ
weighted blanket;2022-11-01;2023-06-29;28;B07PDRRVYK
weighted blanket;2022-11-01;2023-06-29;29;B085G4YNHZ
weighted blanket;2022-11-01;2023-06-29;30;B077FZDNJ2
weighted blanket;2022-11-01;2023-06-29;31;B0BDS9SM8M
weighted blanket;2022-11-01;2023-06-29;32;B08JCCCSG5
weighted blanket;2022-11-01;2023-06-29;33;B09KS9VBL7
weighted blanket;2022-11-01;2023-06-29;34;B08P5626W7
weighted blanket;2022-11-01;2023-06-29;35;B09KNGKNQR
weighted blanket;2022-11-01;2023-06-29;36;B0BRKL5JFH
weighted blanket;2022-11-01;2023-06-29;37;B0BRY4T1PX
weighted blanket;2022-11-01;2023-06-29;38;B08XK115M2
weighted blanket;2022-11-01;2023-06-29;39;B08JPBJ85J
weighted blanket;2022-11-01;2023-06-29;40;B09B9TF2ZY
weighted blanket;2022-11-01;2023-06-29;41;B099M51BB9
weighted blanket;2022-11-01;2023-06-29;42;B081SVF7MS
weighted blanket;2022-11-01;2023-06-29;43;B09DYGN6VB
weighted blanket;2022-11-01;2023-06-29;44;B093PVVYH3
weighted blanket;2022-11-01;2023-06-29;45;B08XJGC2DG
weighted blanket;2022-11-01;2023-06-29;46;B084XVJH6L
weighted blanket;2022-11-01;2023-06-29;47;B0BPCXQGHC
weighted blanket;2022-11-01;2023-06-29;48;B08296JK61
baby wipes;2022-11-01;2023-06-29;-1;B07V2N4SJY
baby wipes;2022-11-01;2023-06-29;-1;B08MXSBRSB
baby wipes;2022-11-01;2023-06-29;-1;B07P5H4M8N
baby wipes;2022-11-01;2023-06-29;-1;B07P7KJ1QS
baby wipes;2022-11-01;2023-06-29;1;B07P7KJ1QS
baby wipes;2022-11-01;2023-06-29;2;B07V2N4SJY
baby wipes;2022-11-01;2023-06-29;3;B09JTNZR1Z
baby wipes;2022-11-01;2023-06-29;4;B07P5H4M8N
baby wipes;2022-11-01;2023-06-29;5;B07VKHM2W6
baby wipes;2022-11-01;2023-06-29;6;B08MXT5VDK
baby wipes;2022-11-01;2023-06-29;7;B07Q1RVMY5
baby wipes;2022-11-01;2023-06-29;8;B07V5VR1F7
baby wipes;2022-11-01;2023-06-29;-1;B07V5VR1F7
baby wipes;2022-11-01;2023-06-29;-1;B0BLW612ML
baby wipes;2022-11-01;2023-06-29;-1;B0B4HG41LR
baby wipes;2022-11-01;2023-06-29;-1;B09JTNZR1Z
baby wipes;2022-11-01;2023-06-29;9;B09FQ7JTPY
baby wipes;2022-11-01;2023-06-29;10;B0051D9CZ0
baby wipes;2022-11-01;2023-06-29;11;B08MXSB38G
baby wipes;2022-11-01;2023-06-29;12;B093BRQP75
baby wipes;2022-11-01;2023-06-29;-1;B093BRQP75
baby wipes;2022-11-01;2023-06-29;-1;B0795VMMC3
baby wipes;2022-11-01;2023-06-29;-1;B07V15BFK8
baby wipes;2022-11-01;2023-06-29;-1;B08K19FMLY
baby wipes;2022-11-01;2023-06-29;13;B00NXGQ8C2
baby wipes;2022-11-01;2023-06-29;14;B07JCDKW3P
baby wipes;2022-11-01;2023-06-29;15;B073S6794Z
baby wipes;2022-11-01;2023-06-29;16;B085LQQ6MT
baby wipes;2022-11-01;2023-06-29;17;B08WDDQHF2
baby wipes;2022-11-01;2023-06-29;18;B01MAZKGHM
baby wipes;2022-11-01;2023-06-29;19;B07RPWLL52
baby wipes;2022-11-01;2023-06-29;20;B0111AIZ68
baby wipes;2022-11-01;2023-06-29;21;B09LM771L5
baby wipes;2022-11-01;2023-06-29;22;B07V4S5Q57
baby wipes;2022-11-01;2023-06-29;23;B07L8KSXSJ
baby wipes;2022-11-01;2023-06-29;24;B07YDV5GQM
baby wipes;2022-11-01;2023-06-29;25;B07C6HRYXN
baby wipes;2022-11-01;2023-06-29;26;B09Z6TMHDM
baby wipes;2022-11-01;2023-06-29;27;B09QLJVBG6
baby wipes;2022-11-01;2023-06-29;28;B0BLW493ZC
baby wipes;2022-11-01;2023-06-29;29;B09HVYLWG1
baby wipes;2022-11-01;2023-06-29;30;B005JDEZJU
baby wipes;2022-11-01;2023-06-29;31;B08VRTKRNT
baby wipes;2022-11-01;2023-06-29;32;B07F1Z6Z43
baby wipes;2022-11-01;2023-06-29;33;B08CHZN5NB
baby wipes;2022-11-01;2023-06-29;34;B01DO38XZS
baby wipes;2022-11-01;2023-06-29;35;B08KTBC5H1
baby wipes;2022-11-01;2023-06-29;36;B09GJXVB8K
baby wipes;2022-11-01;2023-06-29;37;B00DBWS14Q
baby wipes;2022-11-01;2023-06-29;38;B00WW8XR4O
baby wipes;2022-11-01;2023-06-29;39;B0BMGRP9S8
baby wipes;2022-11-01;2023-06-29;40;B001QIN6ME
baby wipes;2022-11-01;2023-06-29;41;B08R9NVQM4
baby wipes;2022-11-01;2023-06-29;42;B0BS1SSZYR
baby wipes;2022-11-01;2023-06-29;43;B07GBRCCG7
baby wipes;2022-11-01;2023-06-29;44;B00NX5J5O6
baby wipes;2022-11-01;2023-06-29;45;B00KT5BARI
baby wipes;2022-11-01;2023-06-29;46;B0B7SFH1SS
baby wipes;2022-11-01;2023-06-29;47;B0BHYZYLHK
baby wipes;2022-11-01;2023-06-29;48;B09QLJXRS5
backpack;2022-11-01;2023-06-29;-1;B07TQS3H19
backpack;2022-11-01;2023-06-29;-1;B07MK6JZ9S
backpack;2022-11-01;2023-06-29;-1;B0BBTX7GKL
backpack;2022-11-01;2023-06-29;-1;B0BRN2QF78
backpack;2022-11-01;2023-06-29;1;B07LBM4GF5
backpack;2022-11-01;2023-06-29;2;B09VXR58RN
backpack;2022-11-01;2023-06-29;3;B06ZYMRGPG
backpack;2022-11-01;2023-06-29;4;B0BBTX7GKL
backpack;2022-11-01;2023-06-29;5;B0BBW929TX
backpack;2022-11-01;2023-06-29;6;B07GRFTC4H
backpack;2022-11-01;2023-06-29;7;B07QNNVVP1
backpack;2022-11-01;2023-06-29;8;B0BXSTG3QX
backpack;2022-11-01;2023-06-29;-1;B01AIVT9UC
backpack;2022-11-01;2023-06-29;-1;B0899XRNPR
backpack;2022-11-01;2023-06-29;-1;B0BYDLCJ3T
backpack;2022-11-01;2023-06-29;-1;B07NPCCCWY
backpack;2022-11-01;2023-06-29;9;B086116MGZ
backpack;2022-11-01;2023-06-29;10;B09KXMBNJJ
backpack;2022-11-01;2023-06-29;11;B075SZQN9Q
backpack;2022-11-01;2023-06-29;12;B0B1L8CSDJ
backpack;2022-11-01;2023-06-29;-1;B0BYNBDCWY
backpack;2022-11-01;2023-06-29;-1;B07V9GSJQV
backpack;2022-11-01;2023-06-29;-1;B09MJYFLV4
backpack;2022-11-01;2023-06-29;-1;B0C3TJ9ZJT
backpack;2022-11-01;2023-06-29;13;B08SQN53HT
backpack;2022-11-01;2023-06-29;14;B09TKXC2FF
backpack;2022-11-01;2023-06-29;15;B093FS4R6G
backpack;2022-11-01;2023-06-29;16;B09MF4BVFH
backpack;2022-11-01;2023-06-29;17;B07CXLJ8G2
backpack;2022-11-01;2023-06-29;18;B09GKJ196D
backpack;2022-11-01;2023-06-29;19;B08V54X6BC
backpack;2022-11-01;2023-06-29;20;B07ZNGJ6PM
backpack;2022-11-01;2023-06-29;21;B08KXNVXYB
backpack;2022-11-01;2023-06-29;22;B08NG1KL7C
backpack;2022-11-01;2023-06-29;23;B0B7RC4F8B
backpack;2022-11-01;2023-06-29;24;B07XJPLL27
backpack;2022-11-01;2023-06-29;25;B08S4S6C63
backpack;2022-11-01;2023-06-29;26;B084T1J3WB
backpack;2022-11-01;2023-06-29;27;B08S4TTSRT
backpack;2022-11-01;2023-06-29;28;B0B67VJLVC
backpack;2022-11-01;2023-06-29;29;B09MHJZ8L9
backpack;2022-11-01;2023-06-29;30;B0923331FS
backpack;2022-11-01;2023-06-29;31;B0BS666GVC
backpack;2022-11-01;2023-06-29;32;B08S4RY72G
backpack;2022-11-01;2023-06-29;33;B07NWCJ1SV
backpack;2022-11-01;2023-06-29;34;B09NJHDB15
backpack;2022-11-01;2023-06-29;35;B08HNGNKBG
backpack;2022-11-01;2023-06-29;36;B088TMVQHS
backpack;2022-11-01;2023-06-29;37;B0BDKLD1TV
backpack;2022-11-01;2023-06-29;38;B0BJZDVHBR
backpack;2022-11-01;2023-06-29;39;B0B21P22D7
backpack;2022-11-01;2023-06-29;40;B07YXR24SS
backpack;2022-11-01;2023-06-29;41;B08KWNPPXS
backpack;2022-11-01;2023-06-29;42;B08JQVS9WB
backpack;2022-11-01;2023-06-29;43;B09KQ262GM
backpack;2022-11-01;2023-06-29;44;B08BZ6KF56
backpack;2022-11-01;2023-06-29;45;B0C14VF9W3
backpack;2022-11-01;2023-06-29;46;B08PPF7FD7
backpack;2022-11-01;2023-06-29;47;B013TGEPZW
backpack;2022-11-01;2023-06-29;48;B0BLQCG7YB
bath towel;2022-11-01;2023-06-29;-1;B00Q4TI6S4
bath towel;2022-11-01;2023-06-29;-1;B08NK69GNJ
bath towel;2022-11-01;2023-06-29;-1;B09X1TXLJ6
bath towel;2022-11-01;2023-06-29;-1;B07YL6QXG4
bath towel;2022-11-01;2023-06-29;1;B01N2VYEFS
bath towel;2022-11-01;2023-06-29;2;B07VN49QF5
bath towel;2022-11-01;2023-06-29;3;B00GQP0XTQ
bath towel;2022-11-01;2023-06-29;4;B07D7VZJMJ
bath towel;2022-11-01;2023-06-29;5;B08L9D82S4
bath towel;2022-11-01;2023-06-29;6;B01J1ZL6RK
bath towel;2022-11-01;2023-06-29;-1;B00Q7JEM0M
bath towel;2022-11-01;2023-06-29;-1;B0B8ZWQGZT
bath towel;2022-11-01;2023-06-29;-1;B0B1JM8MS2
bath towel;2022-11-01;2023-06-29;-1;B092DMB62J
bath towel;2022-11-01;2023-06-29;7;B091JCFD82
bath towel;2022-11-01;2023-06-29;8;B084YWVCM5
bath towel;2022-11-01;2023-06-29;9;B01NBMMRG1
bath towel;2022-11-01;2023-06-29;10;B08T6BQJ1C
bath towel;2022-11-01;2023-06-29;-1;B084JDD6P1
bath towel;2022-11-01;2023-06-29;-1;B07W5GDNLR
bath towel;2022-11-01;2023-06-29;-1;B0C1J3XHQZ
bath towel;2022-11-01;2023-06-29;-1;B08WLZ226D
bath towel;2022-11-01;2023-06-29;11;B08D9FMZBN
bath towel;2022-11-01;2023-06-29;12;B091N4PD7V
bath towel;2022-11-01;2023-06-29;13;B09YYVWDLY
bath towel;2022-11-01;2023-06-29;14;B07RS46G5N
bath towel;2022-11-01;2023-06-29;15;B0B2F2Q8JY
bath towel;2022-11-01;2023-06-29;16;B0C446DPQW
bath towel;2022-11-01;2023-06-29;17;B07S47Y9LG
bath towel;2022-11-01;2023-06-29;18;B01K5815WS
bath towel;2022-11-01;2023-06-29;19;B09Y8Z1VSZ
bath towel;2022-11-01;2023-06-29;20;B0B3JWMSBL
bath towel;2022-11-01;2023-06-29;21;B082KF3C64
bath towel;2022-11-01;2023-06-29;22;B08D9G63GP
bath towel;2022-11-01;2023-06-29;23;B07HKJJK31
bath towel;2022-11-01;2023-06-29;24;B09671LH9M
bath towel;2022-11-01;2023-06-29;25;B09VXDPS1B
bath towel;2022-11-01;2023-06-29;26;B01H70PW94
bath towel;2022-11-01;2023-06-29;27;B08WCP8LPS
bath towel;2022-11-01;2023-06-29;28;B07DP8VV6R
bath towel;2022-11-01;2023-06-29;29;B011N979T6
bath towel;2022-11-01;2023-06-29;30;B085DQH14W
bath towel;2022-11-01;2023-06-29;31;B09J8W6S42
bath towel;2022-11-01;2023-06-29;32;B00Q4TK2W2
bath towel;2022-11-01;2023-06-29;33;B09GFT7F8G
bath towel;2022-11-01;2023-06-29;34;B00XA7Z0FA
bath towel;2022-11-01;2023-06-29;35;B08NCDPNHL
bath towel;2022-11-01;2023-06-29;36;B083TYCPRQ
bath towel;2022-11-01;2023-06-29;37;B09RN35Z8N
bath towel;2022-11-01;2023-06-29;38;B088RB1CSR
bath towel;2022-11-01;2023-06-29;39;B00O8OC3B8
bath towel;2022-11-01;2023-06-29;40;B0BZ8HLJ37
bath towel;2022-11-01;2023-06-29;41;B0B5LYS8GZ
bath towel;2022-11-01;2023-06-29;42;B08NXTY9ZB
bath towel;2022-11-01;2023-06-29;43;B08M19MN5J
bath towel;2022-11-01;2023-06-29;44;B0B1V21L6M
bath towel;2022-11-01;2023-06-29;45;B0B1V7N511
bath towel;2022-11-01;2023-06-29;46;B08T9WRVKX
bath towel;2022-11-01;2023-06-29;47;B07MJ6QCCH
bath towel;2022-11-01;2023-06-29;48;B09BZFZ6XX
bed frame;2022-11-01;2023-06-29;-1;B08XWFR5QF
bed frame;2022-11-01;2023-06-29;-1;B0BVW94DHF
bed frame;2022-11-01;2023-06-29;-1;B08XWLH75Q
bed frame;2022-11-01;2023-06-29;-1;B00AKHD0OG
bed frame;2022-11-01;2023-06-29;1;B083G1YM72
bed frame;2022-11-01;2023-06-29;2;B08756LHRD
bed frame;2022-11-01;2023-06-29;3;B07YL4NS7Z
bed frame;2022-11-01;2023-06-29;4;B0BQ2J877Z
bed frame;2022-11-01;2023-06-29;5;B09JYZD3KW
bed frame;2022-11-01;2023-06-29;6;B07YL532LQ
bed frame;2022-11-01;2023-06-29;7;B08757Q43H
bed frame;2022-11-01;2023-06-29;8;B0875797YH
bed frame;2022-11-01;2023-06-29;-1;B08J478H32
bed frame;2022-11-01;2023-06-29;-1;B015WKAG4W
bed frame;2022-11-01;2023-06-29;-1;B002CFDCWE
bed frame;2022-11-01;2023-06-29;-1;B0BCQBTRHH
bed frame;2022-11-01;2023-06-29;9;B087K2WWP1
bed frame;2022-11-01;2023-06-29;10;B0BQMC9BL2
bed frame;2022-11-01;2023-06-29;11;B08757R2BR
bed frame;2022-11-01;2023-06-29;12;B07YLDJQ52
bed frame;2022-11-01;2023-06-29;-1;B00TYJP1AM
bed frame;2022-11-01;2023-06-29;-1;B09CF3YYY9
bed frame;2022-11-01;2023-06-29;-1;B088HD8BYB
bed frame;2022-11-01;2023-06-29;-1;B015EG70C0
bed frame;2022-11-01;2023-06-29;13;B0BHQY26X2
bed frame;2022-11-01;2023-06-29;14;B0BBLLGJ33
bed frame;2022-11-01;2023-06-29;15;B0BM9M1ZFY
bed frame;2022-11-01;2023-06-29;16;B08756SQTG
bed frame;2022-11-01;2023-06-29;17;B089YT2W7M
bed frame;2022-11-01;2023-06-29;18;B099283FNZ
bed frame;2022-11-01;2023-06-29;19;B08757NH85
bed frame;2022-11-01;2023-06-29;20;B07YL6G29C
bed frame;2022-11-01;2023-06-29;21;B087K2Z859
bed frame;2022-11-01;2023-06-29;22;B07QL8WVPL
bed frame;2022-11-01;2023-06-29;23;B088HD8BYB
bed frame;2022-11-01;2023-06-29;24;B09VK2KJTH
bed frame;2022-11-01;2023-06-29;25;B0BLXJJHS3
bed frame;2022-11-01;2023-06-29;26;B0BWXGGFH9
bed frame;2022-11-01;2023-06-29;27;B0BHS18F7L
bed frame;2022-11-01;2023-06-29;28;B07YL5W6KZ
bed frame;2022-11-01;2023-06-29;29;B081K7BRVW
bed frame;2022-11-01;2023-06-29;30;B0B3RMK38P
bed frame;2022-11-01;2023-06-29;31;B09PN11F3D
bed frame;2022-11-01;2023-06-29;32;B00XWAU4ME
bed frame;2022-11-01;2023-06-29;33;B0BQ2WCWN5
bed frame;2022-11-01;2023-06-29;34;B098XN2FKR
bed frame;2022-11-01;2023-06-29;35;B08756PK9C
bed frame;2022-11-01;2023-06-29;36;B0B6ZZL9DQ
bed frame;2022-11-01;2023-06-29;37;B0875797ZV
bed frame;2022-11-01;2023-06-29;38;B087K2WWNX
bed frame;2022-11-01;2023-06-29;39;B08756TFJB
bed frame;2022-11-01;2023-06-29;40;B08756W7FP
bed frame;2022-11-01;2023-06-29;41;B0C28T3BL6
bed frame;2022-11-01;2023-06-29;42;B087K5B887
bed frame;2022-11-01;2023-06-29;43;B088X3TBQ5
bed frame;2022-11-01;2023-06-29;44;B07YSV8939
bed frame;2022-11-01;2023-06-29;45;B0BQVZK3B5
bed frame;2022-11-01;2023-06-29;46;B01JZHDE2E
bed frame;2022-11-01;2023-06-29;47;B09K7DM66D
bed frame;2022-11-01;2023-06-29;48;B07MDK77KZ
bed sheets;2022-11-01;2023-06-29;-1;B06XFMT57Q
bed sheets;2022-11-01;2023-06-29;-1;B0BX418KJQ
bed sheets;2022-11-01;2023-06-29;-1;B0BLHFYNNM
bed sheets;2022-11-01;2023-06-29;-1;B09FQJRH3H
bed sheets;2022-11-01;2023-06-29;1;B07J4H3MBJ
bed sheets;2022-11-01;2023-06-29;2;B09CKQS6HZ
bed sheets;2022-11-01;2023-06-29;3;B0BX3VQSSL
