"keyword";"search_date";"closest_date";"organic_position";"asin";"country";"title";"listed_since";"price";"currency";"seller_name";"seller_id";"reviews";"avg_review";"keywords_count";"private_label_amazon";"amazon_seller"
"diapers";"2022-11-01";"2023-06-29";-1;"B07D4JG51Z";"de";"Amazon-Marke: Mama Bear Höschenwindeln Junior Größe 5 (13-20kg), 80 Stück (2 Packungen mit 40)";"2018-05-17";25,2;"EUR";"Amazon";"A3JWKAKR8XB7XF";8205;4,1;1215;1;1
"diapers";"2022-11-01";"2023-06-29";14;"B089T7RMZ3";"de";"Amazon-Marke: Mama Bear Disney Windelhöschen Größe 5 (12-17 kg) - MONATSBOX, Weiß, 140 Stück (2 Packungen mit 70)";"2020-11-02";42,45;"EUR";"Amazon";"A3JWKAKR8XB7XF";6773;4,4;2376;1;1
"diapers";"2022-11-01";"2023-06-29";16;"B089T7T8H3";"de";"Amazon-Marke: Mama Bear - Disney - 160 Windelhöschen - Größe 4 (9-15 kg) - MONATSBOX, Weiß, 160 Stück (2 Packungen mit 80)";"2020-11-02";42,45;"EUR";"Amazon";"A3JWKAKR8XB7XF";6773;4,4;1505;1;1
"diapers";"2022-11-01";"2023-06-29";30;"B084W8DJWX";"de";"Amazon-Marke: Mama Bear Disney Ultra Dry Windeln Größe 5+ (11-17 kg) - MONATSBOX, Weiß, 144 Stück (2 Packungen mit 72)";"2020-07-06";31,29;"EUR";"Amazon";"A3JWKAKR8XB7XF";12396;4,3;436;1;1
"dog bed";"2022-11-01";"2023-06-29";-1;"B076VSF333";"de";"Amazon Basics Kühlendes erhöhtes Hund Haustierbett, M, Grau, L 110 x B 65 x H 19 cm";"2017-10-27";25,95;"EUR";"Amazon";"A3JWKAKR8XB7XF";76117;4,5;514;1;1
"dog bed";"2022-11-01";"2023-06-29";-1;"B07233P1W2";"de";"Amazon Basics Rundes Haustierbett für Hunde und Katzen - Creme/Braun, L 51 x B 51 x H 15 cm";"2017-05-23";13,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";12594;4,4;964;1;1
"dog bed";"2022-11-01";"2023-06-29";33;"B076VXVB2L";"de";"Amazon Basics Kühlendes erhöhtes Hund Haustierbett, Grau, Größe L, L 130 x B 80 x H 19 cm";"2017-10-27";29,74;"EUR";"Amazon";"A3JWKAKR8XB7XF";76163;4,5;2629;1;1
"dresses";"2022-11-01";"2023-06-29";12;"B08JDV4TG3";"de";"Amazon Essentials Damen Tailliertes A-Linien-Midikleid mit halblangen Ärmeln in lockerer Passform";"2024-03-15";33,1;"EUR";"Amazon";"A3JWKAKR8XB7XF";4044;4;515;1;1
"dumbbells";"2022-11-01";"2023-06-29";-1;"B078Y2Q34Q";"de";"Amazon Basics Neopren Hanteln Gewichte (2er-Sets, 1kg - 5kg Hanteln)";"2018-01-11";17,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";20238;4,7;1412;1;1
"dumbbells";"2022-11-01";"2023-06-29";12;"B078XXP3RH";"de";"Amazon Basics Neopren Hanteln Gewichte (2er-Sets, 1kg - 5kg Hanteln)";"2018-01-11";16,19;"EUR";"Amazon";"A3JWKAKR8XB7XF";20402;4,7;2688;1;1
"dumbbells";"2022-11-01";"2023-06-29";34;"B07FNQXN4Q";"de";"Amazon Basics Kurzhantel, Vinylbeschichtet, 2 Stück";"2020-01-01";15,77;"EUR";"Amazon";"A3JWKAKR8XB7XF";17892;4,7;107;1;1
"dutch oven";"2022-11-01";"2023-06-29";-1;"B07PPQQB6B";"de";"The Windmill Dutch Oven 4,5Qt Starter Set in Transportkiste";"2021-07-20";129,9;"EUR";"bbq-eifel";"A3JAX4WL8N6J20";-1;-1;4;1;0
"earrings";"2022-11-01";"2023-06-29";8;"B0B3R5T5ZG";"de";"HIKARO Hypoallergene Ohrringe aus Titan, Reintitan in Implantatqualität, geeignet für empfindliche Ohren, mit Geburtssteinkristallen, Synthetische CZ-Diamanten";"2022-07-15";20,99;"EUR";"Limerencia Jewelry";"A3J8OEUV8U0WQ4";59;4,7;34;1;0
"file folders";"2022-11-01";"2023-01-30";33;"B01B25NN64";"de";"Amazon Basics Dokumentenmappe A4, Fächermappe, Schwarz";"2016-02-04";9,59;"EUR";"Amazon";"A3JWKAKR8XB7XF";68495;4,5;6347;1;1
"hand soap";"2022-11-01";"2023-06-29";28;"B07VCFZRLX";"de";"Meraki Northern Dawn Handseife Flüssig (490 ml) | Zertifizierte Bio-Seife Flüssig | Hautpflege mit Bio-Mango-Extrakt & Aloe Vera | Seife Nachfüllbeutel im skandinavischen Design";"2019-08-06";24;"EUR";"LAVICOM - Wohnaccessoires & CustomGifts";"ASZR8B2SCG4EH";162;4,5;307;1;0
"hdmi cable";"2022-11-01";"2023-06-29";2;"B014I8SIJY";"de";"Amazon Basics 4K-HDMI-Kabel, 0.9 m, 18 Gbit/s Highspeed mit Ethernet, 4K@60Hz, 2160p, Schwarz";"2015-09-24";6,76;"EUR";"Amazon";"A3JWKAKR8XB7XF";546798;4,6;614;1;1
"hdmi cable";"2022-11-01";"2023-06-29";6;"B075ZTJ9XR";"de";"Amazon Basics Geflochtenes HDMI A - Kabel, 0.9 m, Schwarz";"2017-10-04";4,78;"EUR";"Amazon";"A3JWKAKR8XB7XF";57825;4,6;359;1;1
"hoodie";"2022-11-01";"2023-06-29";-1;"B075JW9DML";"de";"Amazon Essentials Herren Fleece-Kapuzenpulli mit durchgehendem Reißverschluss (erhältlich in den Größen Big & Tall)";"2020-03-17";24,7;"EUR";"Amazon";"A3JWKAKR8XB7XF";52535;4,1;23;1;1
"hoodie";"2022-11-01";"2023-06-29";-1;"B07NS23GFW";"de";"Amazon Essentials Herren Fleece-Sweatshirt Mit Kapuze (Erhältlich In Übergröße)";"2020-03-17";18,8;"EUR";"Amazon";"A3JWKAKR8XB7XF";47666;4,2;4;1;1
"iphone charger";"2022-11-01";"2023-06-29";-1;"B082T6GVG9";"de";"Amazon Basics Verbindungskabel Lightning auf USB-A, MFi-zertifiziertes Ladekabel für iPhone, weiß, 0.9 m";"2020-01-01";8,34;"EUR";"Amazon";"A3JWKAKR8XB7XF";52885;4,1;824;1;1
"iphone charger";"2022-11-01";"2023-06-29";-1;"B0874YN8B9";"de";"Amazon Basics Qi-zertifizierter kabelloser Ladeständer, 10 W, für Telefon 16/15/14/13/12/11/X, Samsung und mehr, mit USB-Kabel (ohne Netzteil), Schwarz";"2021-02-02";14,43;"EUR";"Amazon";"A3JWKAKR8XB7XF";9751;4,2;96;1;1
"jeans";"2022-11-01";"2023-06-29";-1;"B08JHJZ5VB";"de";"Amazon Essentials Herren Slim-Fit-Jeans";"2024-09-11";30,4;"EUR";"Amazon";"A3JWKAKR8XB7XF";41498;4,2;29;1;1
"jeans";"2022-11-01";"2023-06-29";-1;"B07BJL6XWN";"de";"Amazon Essentials Herren Stretchjeans, athletische Passform";"2024-05-10";26,8;"EUR";"Amazon";"A3JWKAKR8XB7XF";29994;4,1;60;1;1
"jeans";"2022-11-01";"2023-06-29";34;"B07BJL458D";"de";"Amazon Essentials Herren Stretchjeans, Gerade Geschnitten";"2021-09-21";30,7;"EUR";"Amazon";"A3JWKAKR8XB7XF";17197;4,1;188;1;1
"knife";"2022-11-01";"2023-06-29";-1;"B00R3Z49G6";"de";"Amazon Basics Messerblock Set, 14 Stück, Schwarz";"2015-04-29";28,84;"EUR";"Amazon";"A3JWKAKR8XB7XF";30340;4,5;1504;1;1
"knife";"2022-11-01";"2023-06-29";-1;"B01B3GARVG";"de";"Amazon Basics Messer-Set, bunt, 12-teilig";"2016-09-15";17,09;"EUR";"Amazon";"A3JWKAKR8XB7XF";23947;4,6;1654;1;1
"laptop bag";"2022-11-01";"2023-06-29";-1;"B00DUGZFLK";"de";"Amazon Basics kompakte Laptoptasche, Umhängetasche/Tragetasche mit Taschen zur Aufbewahrung von Zubehör, für Laptops bis zu 14 Zoll (35,6 cm), Schwarz, 1 Stück";"2013-07-30";19,07;"EUR";"Amazon";"A3JWKAKR8XB7XF";92009;4,6;585;1;1
"laptop bag";"2022-11-01";"2023-06-29";-1;"B00CD8AFFW";"de";"Amazon Basics Laptophülle für Laptops bis zu 35,6 cm (14-Zoll), Schwarz";"2013-06-07";11,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";117776;4,5;1357;1;1
"led light bulb";"2022-11-01";"2023-06-20";-1;"B0722JN2M2";"de";"Amazon Basics E27 LED Lampe, 9W (ersetzt 60W), warmweiß, dimmbar - 2er-Pack [Energieklasse F]";"2017-04-26";7,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";4405;4,5;6685;1;1
"led light bulb";"2022-11-01";"2023-06-20";7;"B06Y3K5PYH";"de";"Amazon Basics LED-Leuchtmittel, Edison-Schraubgewinde E27, 13 W (entspricht 100-W-Glühbirne), Kaltweiß, nicht dimmbar, 2 Stück (1er Pack) [Energieklasse E]";"2017-04-06";7,97;"EUR";"Amazon";"A3JWKAKR8XB7XF";25485;4,3;1770;1;1
"led light bulb";"2022-11-01";"2023-06-20";-1;"B06Y3C525D";"de";"Amazon Basics LED-Leuchtmittel, Edison-Sockel E27, 7 W (entspricht 60-W-Glühbirne), Warmweiß, nicht dimmbar, klares Filament, 2er-Pack [Energieklasse E]";"2017-04-06";5,84;"EUR";"Amazon";"A3JWKAKR8XB7XF";6782;4,5;5019;1;1
"led light bulb";"2022-11-01";"2023-06-20";41;"B06Y38JYR6";"de";"Amazon Basics LED-Leuchtmittel, Edison-Sockel E27, 4,3 W (entspricht 40-W-Glühbirne), nicht dimmbar, klares Filament, 6 Stück (1er Pack), Warmweiß [Energieklasse F]";"2017-04-06";12,56;"EUR";"Amazon";"A3JWKAKR8XB7XF";3439;4,6;2500;1;1
"long sleeve t shirt men";"2023-08-01";"2024-03-28";8;"B07752LV1B";"de";"Amazon Essentials Herren Langärmeliges T-Shirt, Schmale Passform";"2024-05-14";17,1;"EUR";"Amazon";"A3JWKAKR8XB7XF";7533;4,2;815;1;1
"long sleeve t shirt men";"2023-08-01";"2024-03-28";14;"B07BJKWDQP";"de";"Amazon Essentials Herren Henley-Shirt mit Langen Ärmeln und normaler Passform (erhältlich in Übergrößen)";"2024-05-09";17,1;"EUR";"Amazon";"A3JWKAKR8XB7XF";14421;4,2;299;1;1
"luggage";"2022-11-01";"2023-06-29";-1;"B071VG5N9D";"de";"Amazon Basics Hartschalen - Koffer - 55 cm Handgepäckkoffer, Schwarz";"2017-05-05";57,43;"EUR";"Amazon";"A3JWKAKR8XB7XF";51498;4,5;6876;1;1
"luggage";"2022-11-01";"2023-06-29";-1;"B0713ZQ4DQ";"de";"Amazon Basics Hartschalen - Kofferset - 3-teiliges Set (55, 68, 78 cm), Schwarz";"2017-05-05";139,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";51249;4,4;2401;1;1
"maxi dresses for women";"2022-11-01";"2023-06-29";32;"B0833MJF77";"de";"The Drop";"2024-05-11";39,14;"EUR";"Amazon";"A3JWKAKR8XB7XF";2942;4;16;1;1
"maxi dresses for women";"2022-11-01";"2023-06-29";45;"B09HSTJW8M";"de";"Amazon Essentials Damen Midi-T-Shirt-Kleid Kurze Ärmel Gürtel";"2022-03-29";27,5;"EUR";"Amazon";"A3JWKAKR8XB7XF";539;4,1;1;1;1
"micro sd card";"2022-11-01";"2023-06-29";-1;"B08TJZDJ4D";"de";"Amazon Basics MicroSDXC, 256 GB, mit SD Adapter, A2, U3, Lesegeschwindigkeit bis zu 100 MB/s, Schwarz";"2021-07-21";19,48;"EUR";"Amazon";"A3JWKAKR8XB7XF";115209;4,6;4150;1;1
"mirror";"2022-11-01";"2023-06-29";9;"B07RTZ6NBL";"de";"Amazon Basics Rechteckiger Wandspiegel Wandmontage, 40.6 x 50.8 cm, spitzer Rand, Schwarz";"2020-01-01";27,5;"EUR";"Amazon";"A3JWKAKR8XB7XF";4369;4,5;35;1;1
"mouse pad";"2022-11-01";"2023-06-29";-1;"B06X3W3YQD";"de";"Amazon Basics Rechteckig Gaming-Mauspad, Standard, Schwarz";"2017-03-10";6,65;"EUR";"Amazon";"A3JWKAKR8XB7XF";94703;4,5;753;1;1
"mouse pad";"2022-11-01";"2023-06-29";-1;"B06X3W3TM4";"de";"Amazon Basics Mauspad mit Gel-Handballenauflage, 20 x 25 cm, Unregelmäßig, Schwarz";"2020-01-01";9,98;"EUR";"Amazon";"A3JWKAKR8XB7XF";94431;4,5;880;1;1
"paper towels";"2022-11-01";"2023-06-29";3;"B075XRF2QL";"de";"Amazon-Marke: Presto! 3-lagig Jumbo Küchenrollen, weiß, 18 Rollen, 1er-Pack";"2017-10-01";15,31;"EUR";"Amazon";"A3JWKAKR8XB7XF";7606;4,6;2226;1;1
"paper towels";"2022-11-01";"2023-06-29";7;"B07XL9YW9M";"de";"AmazonCommercial Papierwischtücher, 2-lagig Centrefeed-Rolle Recycelt, 6 Rollen (1 packung), 450 Blätter per Rolle, Blattgröße: 30 x 20 cm";"2019-12-06";18,31;"EUR";"Amazon";"A3JWKAKR8XB7XF";7549;4,5;3280;1;1
"paper towels";"2022-11-01";"2023-06-29";17;"B07XRWZBHY";"de";"AmazonCommercial Singlefold (V-Falz) Papierhandtücher, 1-lagig Recycelt (Krepp), 5000 Blätter (250 Blätter, 20-er Pack), Blattgröße: 25 x 23 cm";"2019-12-06";30,69;"EUR";"Amazon";"A3JWKAKR8XB7XF";4103;4,4;265;1;1
"paper towels";"2022-11-01";"2023-06-29";30;"B075XQWD59";"de";"Amazon-Marke: Presto! TAD Küchenrolle, Extra Saugfähig, 32 Rollen (4 Rollen, 8-er Pack), 51 Blätter pro Rolle, Auswringen und Wiederverwenden, FSC-zertifiziert";"2020-04-03";28,51;"EUR";"Amazon";"A3JWKAKR8XB7XF";11028;4,6;2366;1;1
"printer paper";"2022-11-01";"2023-06-28";3;"B01FSGVN4M";"de";"Amazon Basics Druckerpapier, DIN A4, 80 g/m², 2500 Stück, 5 Packungen mit 500, Weiß";"2016-05-17";23,79;"EUR";"Amazon";"A3JWKAKR8XB7XF";42135;4,5;7057;1;1
"protein powder";"2022-11-01";"2023-06-26";9;"B07KYX5PKQ";"de";"Amazon-Marke: Amfit Nutrition Molkeproteinpulver, Vanille, 33 Portionen (1er Pack)";"2020-01-01";24,49;"EUR";"Amazon";"A3JWKAKR8XB7XF";29089;4,1;4414;1;1
"robe";"2022-11-01";"2023-06-29";-1;"B07Y2JGLN8";"de";"Amazon Essentials Damen Leichter Waffel-Bademantel, Mittellang (Erhältlich In Übergröße)";"2022-12-15";29,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";12505;4,3;1025;1;1
"robe";"2022-11-01";"2023-06-29";-1;"B08X94DRCD";"de";"Amazon Essentials Damen Leichter Waffel-Bademantel, Lang (Erhältlich In Übergröße)";"2020-04-16";29,8;"EUR";"Amazon";"A3JWKAKR8XB7XF";12379;4,2;115;1;1
"robe";"2022-11-01";"2023-06-29";12;"B07HJHCGH1";"de";"Amazon Essentials Herren Leichter Waffelpiqué-Bademantel (erhältlich in Big & Tall)";"2024-05-09";34,9;"EUR";"Amazon";"A3JWKAKR8XB7XF";21835;4,2;1711;1;1
"robe";"2022-11-01";"2023-06-29";18;"B07Y2JW635";"de";"Amazon Essentials Damen Leichter Waffel-Bademantel, Mittellang (Erhältlich In Übergröße)";"2022-12-15";29,5;"EUR";"Amazon";"A3JWKAKR8XB7XF";12621;4,3;1036;1;1
"shelf";"2022-11-01";"2023-06-29";-1;"B07XM8Y26Y";"de";"Amazon Basics Legierter Stahl Aufbewahrungsregale für die Küche, stapelbar, Weiß";"2020-01-01";18,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";10355;4,3;4641;1;1
"shoe rack";"2022-11-01";"2023-06-29";-1;"B07428RCLY";"de";"Amazon Basics 3-Lagiges Schuhregal Für 9 Paare, Braun, 68 D x 32 W x 47.5 H cm";"2017-07-19";28,89;"EUR";"Amazon";"A3JWKAKR8XB7XF";19614;4,6;1032;1;1
"shower curtain";"2022-11-01";"2023-06-29";-1;"B01E6ZFV3U";"de";"Amazon Basics Duschvorhang, Wasser- und schimmelresistenter Stoff, Badezimmervorhang mit Ösen und Haken, maschinenwaschbar, 180 x 180 cm, Weiß";"2016-04-13";10,84;"EUR";"Amazon";"A3JWKAKR8XB7XF";37335;4,4;1367;1;1
"shower curtain";"2022-11-01";"2023-06-29";7;"B01E6ZGTBS";"de";"Amazon Basics Duschvorhang, Wasser- und schimmelresistenter Stoff, Badezimmervorhang mit Ösen und Haken, maschinenwaschbar, 180 x 200 cm, Weiß";"2016-04-13";12,27;"EUR";"Amazon";"A3JWKAKR8XB7XF";37370;4,4;2042;1;1
"socks";"2022-11-01";"2023-06-29";-1;"B07F286BYG";"de";"Amazon Essentials Herren Bequeme Crew-Sportsocken Aus Gepolsterter, Atmungsaktiver Funktionsbaumwolle, 6 Paar";"2038-01-19";14,1;"EUR";"Amazon";"A3JWKAKR8XB7XF";6426;4,4;115;1;1
"storage bins";"2022-12-01";"2023-08-01";-1;"B0CBKCB239";"de";"Iris Ohyama, Aufbewahrungsboxen mit Deckel, Kunststoffboxen, Plastikbox, Box mit Deckel, 15L, 4er-Set, Transparent, Verschlussclips, Stapelbar, Organisation, BPA-frei, Plastikboxen, Kisten, NTB-15";"2023-07-05";24,99;"EUR";"Iris Europe";"AC7OI6X0PLALM";16799;4,2;6839;1;0
"storage bins";"2022-12-01";"2023-08-01";17;"B07TXL7CPQ";"de";"Amazon Basics Aufbewahrungswürfel aus Stoff, faltbar, mit ovalen Ösen, 6er-Pack, Hellgrau";"2020-01-01";20,53;"EUR";"Amazon";"A3JWKAKR8XB7XF";21924;4,6;3904;1;1
"storage bins";"2022-12-01";"2023-08-01";30;"B0711RQMNF";"de";"Amazon Basics zusammenklappbarer Aufbewahrungswürfel/Organizer aus Stoff mit Griffen, 26,6 x 26,6 x 27,9 cm, Einfarbig Beige, 6 Stück";"2017-07-11";19,35;"EUR";"Amazon";"A3JWKAKR8XB7XF";107733;4,6;1694;1;1
"storage bins";"2022-12-01";"2023-08-01";39;"B075RV6W32";"de";"Iris Ohyama Vielseitige Aufbewahrungsboxen, 30L, 6er-Set, Grau, Leicht schließba Deckel, Stapelbar, Plastik, Für Schrank, Regale, Organisation, Kleidung, Bettlaken, Garage, USB-M";"2017-09-18";49,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";5131;4;5648;1;1
"tank tops for women";"2022-11-01";"2023-06-25";14;"B0775B4YV5";"de";"Amazon Essentials Damen Tanktop schlanke Passform, 2er-Pack";"2020-05-07";15,2;"EUR";"Amazon";"A3JWKAKR8XB7XF";65910;4,5;6;1;1
"tank tops for women";"2022-11-01";"2023-06-25";43;"B07XQQGZ3J";"de";"Amazon Essentials Damen Schmal geschnittenes Tanktop mit dünnem Trägern, 2er-Pack";"2025-02-18";14,9;"EUR";"Amazon";"A3JWKAKR8XB7XF";12938;4,4;22;1;1
"toilet paper";"2022-11-01";"2023-06-29";19;"B08C61HFLD";"de";"AmazonCommercial Toilettenpapier, 3-lagig Premium, 72 Rollen (8 Rollen, 9-er Pack), 243 stück per Rolle, Blattgröße: 9,5 x 11 cm, T4/T6-Spender Kompatibel";"2020-07-01";30,1;"EUR";"Amazon";"A3JWKAKR8XB7XF";3165;4,2;879;1;1
"trash can";"2022-11-01";"2023-06-29";-1;"B07P8L89NS";"de";"Amazon Basics 20 l Mülleimer mit Stahlrohrpedal - Sanft Schließend mit Deckel, für Küche, Bad oder Büro, 5.3 Gallonen Zylindrisch, Edelstahl Gebürstet";"2019-08-29";49,49;"EUR";"Amazon";"A3JWKAKR8XB7XF";9492;4,6;2127;1;1
"trash can";"2022-11-01";"2023-06-29";10;"B07PBV75T2";"de";"Amazon Basics 30 l Rechteckig Mülleimer für die Küche mit Stahlrohrpedal - 7.9 gallons Sanft Schließend mit Deckel, für Küche, Bad oder Büro, Satiniertes Nickel";"2019-08-29";49,49;"EUR";"Amazon";"A3JWKAKR8XB7XF";7204;4,5;2811;1;1
"trash can";"2022-11-01";"2023-06-29";22;"B07PBV7GH1";"de";"Amazon Basics 30L Rechteckig Dual Bin Soft-Close Mülleimer mit Fußpedal - 2 x 15 litre Eimer, Edelstahl, Silber, geeignet für 1 oder 2 Personen";"2019-03-05";76,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";7597;4,5;2316;1;1
"trash can";"2022-11-01";"2023-06-29";27;"B07MJ9NSCK";"de";"Amazon Basics 60-L-Mülleimer aus Edelstahl mit Berührungslosem Bewegungssensor, Rechteckig, Silberfarben/Schwarz";"2019-01-08";121,41;"EUR";"Amazon";"A3JWKAKR8XB7XF";9003;4,3;1328;1;1
"trash can";"2022-11-01";"2023-06-29";34;"B07PD3YSX6";"de";"Amazon Basics Rechteckig Mülleimer mit Stahlrohrpedal - Sanft Schließend mit Deckel, für Küche oder Büro, 32 l, Schwarz";"2019-03-05";60,49;"EUR";"Amazon";"A3JWKAKR8XB7XF";2760;4,6;1280;1;1
"usb c cable";"2022-11-01";"2023-06-29";-1;"B01GGKYKQM";"de";"Amazon Basics USB-C-auf-USB-A 2.0 Schnellladekabel, 480 Mbit/s Geschwindigkeit, USB-IF-zertifiziert, für Apple iPhone 16/15, iPad, Samsung Galaxy, Tablets, Laptops, 0.9 m, Schwarz";"2016-11-24";6,99;"EUR";"Amazon";"A3JWKAKR8XB7XF";30366;4,5;2611;1;1
"usb c cable";"2022-11-01";"2023-06-29";-1;"B01GGKYO1I";"de";"Amazon Basics USB-C-auf-USB-A 2.0 Schnellladekabel, 480 Mbit/s Geschwindigkeit, USB-IF-zertifiziert, für Apple iPhone 16/15, iPad, Samsung Galaxy, Tablets, Laptops, 1.8 m, Weiß";"2016-11-24";5,13;"EUR";"Amazon";"A3JWKAKR8XB7XF";13093;4,5;692;1;1
